trx_id,trx_date,trx_count
1,2020-07-28 19:03:07,44
2,2020-07-28 19:03:08,18
3,2020-07-28 19:03:09,23
4,2020-07-28 19:03:10,29
5,2020-07-28 19:03:11,27
6,2020-07-28 19:03:12,45
7,2020-07-28 19:03:13,45
8,2020-07-28 19:03:14,32
9,2020-07-28 19:03:15,41
10,2020-07-28 19:03:16,15
11,2020-07-28 19:03:17,24
12,2020-07-28 19:03:18,47
13,2020-07-28 19:03:19,37
14,2020-07-28 19:03:20,48
15,2020-07-28 19:03:21,46
16,2020-07-28 19:03:22,44
17,2020-07-28 19:03:23,36
18,2020-07-28 19:03:24,41
19,2020-07-28 19:03:25,33
20,2020-07-28 19:03:26,19